MP,EDate,ETime,EPrice,XDate,XTime,XPrice,
1,10/24/2007,08:33,1354.75,10/24/2007,09:43,1347.75,
1,11/01/2007,08:34,1374.25,11/01/2007,08:39,1367.25,
1,11/07/2007,09:37,1343.50,11/07/2007,11:50,1336.50,
1,05/01/2008,08:41,1207.50,05/01/2008,08:55,1213.50,
1,05/05/2008,08:34,1234.50,05/05/2008,09:15,1240.50,
1,05/07/2008,08:34,1242.25,05/07/2008,10:36,1235.25,
1,05/21/2008,09:00,1239.25,05/21/2008,12:56,1232.25,
1,05/22/2008,08:51,1215.25,05/22/2008,09:06,1221.25,
1,04/03/2009,08:32,654.00,04/03/2009,13:28,660.00,
1,04/06/2009,08:34,652.75,04/06/2009,10:54,645.75,
1,04/13/2009,08:42,668.25,04/13/2009,09:18,674.25,
1,04/14/2009,08:33,669.50,04/14/2009,09:32,675.50,
1,04/22/2009,08:32,661.75,04/22/2009,09:01,667.75,
1,05/05/2009,08:48,724.25,05/05/2009,14:51,726.25,
1,05/11/2009,08:32,735.75,05/11/2009,14:51,734.00,
1,05/14/2009,08:48,706.75,05/14/2009,09:14,712.75,
1,05/15/2009,08:32,712.75,05/15/2009,09:38,718.75,
1,05/19/2009,08:32,730.50,05/19/2009,09:28,736.50,
1,07/07/2009,08:39,720.00,07/07/2009,10:39,713.00,
1,07/16/2009,09:07,753.00,07/16/2009,12:53,759.00,
1,07/24/2009,08:57,795.00,07/24/2009,12:32,801.00,
1,07/27/2009,08:38,801.75,07/27/2009,09:03,807.75,
1,07/28/2009,09:14,799.75,07/28/2009,13:31,805.75,
1,07/29/2009,08:32,797.50,07/29/2009,09:06,803.50,
1,08/04/2009,08:34,823.00,08/04/2009,10:11,829.00,
1,08/05/2009,08:32,830.75,08/05/2009,09:02,823.75,
1,08/10/2009,08:32,830.75,08/10/2009,14:51,833.00,
1,08/11/2009,08:32,828.50,08/11/2009,09:30,821.50,
1,08/14/2009,08:33,838.50,08/14/2009,08:56,831.50,
1,08/20/2009,08:32,823.75,08/20/2009,08:44,829.75,
1,09/01/2009,10:11,842.50,09/01/2009,10:29,835.50,
1,09/17/2009,11:14,894.50,09/17/2009,14:51,893.50,
1,09/25/2009,08:34,875.25,09/25/2009,08:58,881.25,
1,10/01/2009,08:32,881.00,10/01/2009,09:01,874.00,
1,10/07/2009,08:32,880.00,10/07/2009,09:18,886.00,
1,10/09/2009,08:32,894.00,10/09/2009,14:03,900.00,
1,10/13/2009,08:43,901.00,10/13/2009,14:51,903.25,
