MP,EDate,ETime,EPrice,XDate,XTime,XPrice,
-1,11/06/2007,08:32,1351.00,11/06/2007,09:48,1345.00,
-1,11/13/2007,08:36,1293.25,11/13/2007,10:29,1300.25,
-1,11/16/2007,11:18,1302.75,11/16/2007,11:45,1296.75,
-1,11/23/2007,08:32,1268.75,11/23/2007,10:41,1275.75,
-1,11/26/2007,08:44,1281.75,11/26/2007,09:43,1275.75,
-1,11/27/2007,08:36,1255.25,11/27/2007,09:12,1249.25,
-1,01/02/2008,08:32,1303.75,01/02/2008,09:02,1297.75,
-1,01/03/2008,08:32,1286.75,01/03/2008,14:19,1280.75,
-1,01/07/2008,08:46,1254.75,01/07/2008,09:12,1248.75,
-1,01/08/2008,08:32,1257.50,01/08/2008,10:18,1251.50,
-1,01/09/2008,08:33,1226.00,01/09/2008,09:03,1233.00,
-1,01/14/2008,10:01,1246.50,01/14/2008,11:09,1240.50,
-1,01/18/2008,08:37,1174.50,01/18/2008,08:56,1168.50,
-1,01/28/2008,09:30,1162.75,01/28/2008,09:57,1169.75,
-1,02/01/2008,08:32,1208.50,02/01/2008,09:01,1215.50,
-1,02/06/2008,09:43,1174.00,02/06/2008,12:39,1168.00,
-1,02/11/2008,08:34,1158.75,02/11/2008,08:46,1152.75,
-1,02/13/2008,08:32,1188.25,02/13/2008,09:25,1182.25,
-1,03/05/2008,08:37,1159.25,03/05/2008,09:01,1166.25,
-1,03/10/2008,09:01,1122.50,03/10/2008,09:07,1116.50,
-1,03/12/2008,08:35,1151.75,03/12/2008,08:49,1145.75,
-1,03/20/2008,08:32,1129.25,03/20/2008,08:39,1123.25,
-1,03/27/2008,08:33,1171.25,03/27/2008,09:08,1165.25,
-1,03/28/2008,08:33,1158.75,03/28/2008,09:41,1152.75,
-1,04/07/2008,08:32,1207.50,04/07/2008,09:29,1201.50,
-1,04/23/2008,09:36,1208.00,04/23/2008,11:26,1202.00,
-1,04/24/2008,08:32,1208.50,04/24/2008,08:50,1202.50,
-1,06/09/2008,08:32,1190.75,06/09/2008,08:49,1184.75,
-1,06/12/2008,08:32,1167.75,06/12/2008,08:47,1174.75,
-1,06/13/2008,08:33,1173.00,06/13/2008,08:46,1167.00,
-1,06/23/2008,08:32,1147.00,06/23/2008,09:01,1141.00,
