MP,EDate,ETime,EPrice,XDate,XTime,XPrice,MAE,MAE_P,MAE_bn,MFE,MFE_P,MFE_Bn,FTE,ETD,MAEFE,MAEFE_p,MAEfe_nB,TradeRange,maxL2H,maxH2L,nBars,TradeN,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380
1,10/24/2007,08:33,1340.75,10/24/2007,09:43,1347.75,-350,0,70,200,0,12,-350,-550,-112.5,0,70,0,0,0,71,1,-25,-37.5,-25,0,-12.5,0,-50,37.5,75,87.5,100,162.5,150,137.5,150,175,162.5,125,112.5,112.5,150,162.5,162.5,87.5,87.5,87.5,100,112.5,25,-62.5,-112.5,-75,-50,-25,-25,-37.5,-112.5,-100,-137.5,-200,-212.5,-262.5,-225,-225,-237.5,-212.5,-225,-225,-162.5,-162.5,-150,-125,-87.5,-162.5,-125,-175,-125,-125,-137.5,-137.5,-100,-75,-137.5,-87.5,-137.5,-100,-175,-212.5,-250,-312.5,-350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11/01/2007,08:34,1360.25,11/01/2007,08:39,1367.25,-350,0,5,62.5,0,1,-350,-412.5,-237.5,0,5,0,0,0,6,2,12.5,25,-12.5,-125,-250,-350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11/07/2007,09:37,1329.5,11/07/2007,11:50,1336.5,-350,0,105,162.5,0,44,-350,-512.5,-175,0,105,0,0,0,134,3,0,-62.5,-75,-37.5,-75,0,12.5,-12.5,37.5,-12.5,-50,12.5,75,37.5,12.5,25,50,87.5,37.5,50,50,25,25,-50,-125,-75,-62.5,-62.5,-112.5,-25,-25,-25,62.5,50,87.5,50,50,50,12.5,62.5,62.5,62.5,62.5,137.5,87.5,87.5,87.5,87.5,62.5,62.5,25,50,62.5,87.5,62.5,37.5,75,50,87.5,62.5,50,25,-12.5,25,25,50,25,50,12.5,0,12.5,37.5,25,-12.5,12.5,25,62.5,50,37.5,37.5,112.5,75,125,112.5,75,25,-37.5,-37.5,-12.5,-75,-50,-37.5,-62.5,-100,-125,-175,-212.5,-162.5,-187.5,-175,-225,-287.5,-262.5,-287.5,-300,-275,-237.5,-237.5,-275,-262.5,-225,-162.5,-162.5,-175,-162.5,-150,-62.5,-125,-125,-112.5,-162.5,-150,-162.5,-137.5,-162.5,-175,-162.5,-187.5,-175,-175,-150,-212.5,-287.5,-350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,05/01/2008,08:41,1219.5,05/01/2008,08:55,1213.5,0,0,1,300,0,9,300,0,0,0,1,0,0,0,15,4,25,50,50,125,162.5,187.5,200,225,175,187.5,200,187.5,162.5,212.5,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,05/05/2008,08:34,1246.5,05/05/2008,09:15,1240.5,-87.5,0,8,300,0,37,300,0,-62.5,0,8,0,0,0,42,5,-25,-50,0,-25,-12.5,0,-50,-75,-75,-87.5,-50,-12.5,12.5,-12.5,37.5,37.5,50,125,87.5,112.5,100,112.5,125,175,137.5,112.5,112.5,200,162.5,50,75,112.5,125,225,237.5,262.5,287.5,262.5,262.5,237.5,275,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,05/07/2008,08:34,1228.25,05/07/2008,10:36,1235.25,-350,0,122,137.5,0,70,-350,-487.5,-175,0,122,0,0,0,123,6,25,50,50,-12.5,-25,-12.5,0,-50,-87.5,-100,-75,-25,-37.5,-25,-37.5,-12.5,-12.5,25,0,0,-12.5,-50,-50,-12.5,-12.5,-12.5,-50,-37.5,-75,-87.5,-112.5,-125,-112.5,-137.5,-112.5,-162.5,-150,-137.5,-125,-112.5,-87.5,-62.5,-112.5,-62.5,-87.5,-50,-62.5,-37.5,-62.5,-50,-75,-50,-62.5,-25,-12.5,0,-25,-25,37.5,-37.5,37.5,25,-12.5,0,-12.5,12.5,37.5,75,100,100,50,75,62.5,50,37.5,-62.5,-50,-50,-25,-50,-75,-62.5,-87.5,-125,-125,-137.5,-150,-162.5,-175,-175,-175,-162.5,-150,-187.5,-150,-125,-112.5,-125,-125,-137.5,-125,-162.5,-187.5,-212.5,-175,-175,-162.5,-150,-162.5,-150,-150,-175,-162.5,-187.5,-200,-200,-225,-237.5,-237.5,-250,-262.5,-312.5,-350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,05/21/2008,09:00,1225.25,05/21/2008,12:56,1232.25,-350,0,67,112.5,0,27,-350,-462.5,-225,0,67,0,0,0,237,7,12.5,-12.5,12.5,-25,0,37.5,25,25,0,-37.5,-62.5,-37.5,-25,12.5,25,0,-62.5,-25,-62.5,-62.5,-12.5,50,50,37.5,25,87.5,112.5,87.5,50,75,50,-75,-100,-62.5,-37.5,0,-37.5,-100,-50,-37.5,-62.5,0,-50,-75,-25,-37.5,-87.5,-112.5,-112.5,-162.5,-175,-200,-187.5,-287.5,-262.5,-237.5,-225,-262.5,-250,-225,-287.5,-250,-287.5,-300,-262.5,-262.5,-300,-312.5,-312.5,-300,-312.5,-287.5,-287.5,-275,-237.5,-237.5,-212.5,-225,-237.5,-275,-250,-237.5,-262.5,-250,-237.5,-212.5,-137.5,-162.5,-162.5,-162.5,-137.5,-175,-187.5,-187.5,-200,-187.5,-162.5,-175,-162.5,-162.5,-187.5,-162.5,-187.5,-212.5,-225,-225,-212.5,-187.5,-162.5,-187.5,-162.5,-137.5,-112.5,-137.5,-125,-87.5,-87.5,-100,-125,-112.5,-100,-125,-137.5,-137.5,-125,-112.5,-112.5,-150,-162.5,-137.5,-137.5,-125,-137.5,-112.5,-137.5,-137.5,-162.5,-162.5,-137.5,-162.5,-162.5,-125,-150,-150,-137.5,-125,-125,-162.5,-125,-150,-125,-137.5,-125,-112.5,-112.5,-125,-125,-150,-125,-112.5,-125,-100,-87.5,-37.5,-25,12.5,25,-12.5,-12.5,-25,-12.5,-12.5,-50,-50,-87.5,-87.5,-75,-50,-50,-62.5,-62.5,-87.5,-75,-100,-112.5,-162.5,-187.5,-212.5,-200,-200,-225,-200,-212.5,-212.5,-200,-200,-212.5,-212.5,-212.5,-212.5,-225,-250,-237.5,-262.5,-262.5,-262.5,-275,-287.5,-300,-300,-300,-275,-262.5,-237.5,-237.5,-250,-250,-212.5,-200,-212.5,-212.5,-187.5,-187.5,-175,-200,-225,-212.5,-200,-200,-212.5,-250,-237.5,-287.5,-287.5,-325,-287.5,-350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,05/22/2008,08:51,1227.25,05/22/2008,09:06,1221.25,0,0,1,300,0,14,300,0,0,0,1,0,0,0,16,8,50,37.5,37.5,37.5,125,137.5,150,112.5,112.5,100,187.5,187.5,225,275,262.5,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,04/03/2009,08:32,666,04/03/2009,13:28,660,-325,0,77,300,0,287,300,0,-137.5,0,77,0,0,0,297,9,137.5,62.5,125,100,162.5,150,162.5,87.5,50,100,162.5,137.5,162.5,187.5,150,112.5,-50,-62.5,-50,-75,-75,-37.5,-25,-75,-100,-50,-12.5,62.5,12.5,-150,-87.5,-112.5,-162.5,-162.5,-200,-162.5,-187.5,-150,-137.5,-112.5,-112.5,-137.5,-137.5,-150,-125,-100,-100,-150,-175,-187.5,-187.5,-175,-175,-162.5,-150,-112.5,-100,-125,-125,-87.5,-112.5,-150,-175,-175,-200,-162.5,-200,-200,-162.5,-187.5,-150,-175,-262.5,-300,-262.5,-275,-300,-275,-262.5,-262.5,-212.5,-200,-162.5,-150,-200,-187.5,-212.5,-200,-187.5,-200,-175,-125,-125,-187.5,-250,-200,-212.5,-237.5,-187.5,-187.5,-225,-212.5,-200,-225,-212.5,-225,-237.5,-262.5,-212.5,-200,-212.5,-225,-250,-262.5,-237.5,-250,-200,-187.5,-175,-175,-175,-175,-162.5,-137.5,-100,-100,-100,-112.5,-112.5,-87.5,-50,-62.5,-62.5,-62.5,-62.5,-62.5,-75,-75,-50,0,-25,0,0,-12.5,-37.5,-25,-37.5,-12.5,0,75,87.5,62.5,75,75,50,50,37.5,12.5,37.5,62.5,50,75,87.5,137.5,150,137.5,125,112.5,100,87.5,75,87.5,75,125,125,137.5,112.5,137.5,150,137.5,137.5,137.5,100,125,162.5,200,187.5,162.5,112.5,137.5,150,137.5,137.5,150,162.5,100,100,37.5,50,50,37.5,25,37.5,50,37.5,25,37.5,12.5,50,75,100,112.5,100,100,87.5,87.5,62.5,-12.5,0,12.5,-12.5,-37.5,-12.5,0,0,50,37.5,50,62.5,62.5,12.5,12.5,0,-25,-12.5,37.5,37.5,50,112.5,125,112.5,112.5,100,87.5,112.5,75,75,100,37.5,12.5,12.5,-12.5,25,25,75,37.5,50,62.5,62.5,62.5,75,125,187.5,200,200,175,162.5,187.5,212.5,237.5,175,212.5,187.5,162.5,125,187.5,150,137.5,150,137.5,150,175,175,225,212.5,262.5,225,250,250,237.5,262.5,250,250,250,250,275,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,04/06/2009,08:34,638.75,04/06/2009,10:54,645.75,-350,0,139,175,0,37,-350,-525,-162.5,0,139,0,0,0,141,10,0,75,75,25,-50,-25,12.5,-25,-75,-62.5,-25,-62.5,-50,-112.5,-112.5,-87.5,-125,-87.5,-62.5,-125,-112.5,-62.5,-62.5,-25,-12.5,0,-12.5,-25,-25,37.5,62.5,112.5,75,100,87.5,125,150,137.5,87.5,75,37.5,-12.5,-25,-25,-50,-62.5,-12.5,-100,-75,-87.5,-50,-25,25,12.5,-125,-112.5,-187.5,-187.5,-187.5,-200,-175,-175,-175,-187.5,-175,-162.5,-162.5,-125,-112.5,-137.5,-112.5,-137.5,-175,-112.5,-75,-75,-100,-87.5,-87.5,-62.5,-87.5,-100,-125,-100,-87.5,-112.5,-125,-162.5,-225,-200,-200,-200,-262.5,-300,-250,-237.5,-225,-237.5,-262.5,-275,-262.5,-262.5,-250,-237.5,-187.5,-187.5,-200,-200,-200,-200,-225,-225,-187.5,-175,-150,-175,-175,-175,-187.5,-162.5,-150,-125,-125,-150,-200,-212.5,-225,-237.5,-212.5,-250,-262.5,-287.5,-300,-275,-262.5,-300,-287.5,-287.5,-337.5,-312.5,-350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
